head_entity,head_entity_type,relation,tail_entity,tail_entity_type
A. M. Rozario and C. Thomas,Citation,Includes,Reengineering the audit with blockchain and smart contracts,Agri_Method
"H. Yuan, X. Chen, J. Wang, J. Yuan, H. Yan, and W. Susilo",Citation,Includes,Blockchain-based public auditing and secure deduplication with fair arbitration,Agri_Method
"J. F. Galvez, J. C. Mejuto, and J. Simal-Gandara",Citation,Includes,Future challenges on the use of blockchain for food traceability analysis,Agri_Method
F. Yiannas,Citation,Includes,A new era of food transparency powered by blockchain,Agri_Method
U. Bodkhe et al.,Citation,Includes,Blockchain for industry 4.0: A comprehensive review,Agri_Method
blockchain,Technology,Used_For,Accelerating bitcoin’s transaction processing,Agri_Process
blockchain,Technology,Used_For,Digital and data-driven agriculture,Agri_Process
blockchain,Technology,Used_For,Powering and empowering the poor in developing countries,Agri_Process
blockchain,Technology,Used_For,improve post COVID-19 supply chains,Agri_Process
blockchain,Technology,Used_For,A secure ﬁsh farm platform,Agri_Process
blockchain,Technology,Used_For,Meeting changing customer requirements in food and agriculture,Agri_Process
blockchain,Technology,Used_For,"Electronic agriculture, blockchain and digital agricultural democratization",Agri_Process
blockchain,Technology,Used_For,sustainable agriculture supply chain,Agri_Process
"Panchal, and V . V . Gedam",Citation,Coreference_Of,Antecedents for blockchain technology-enabled sustainable agriculture supply chain,Agri_Method
Ann. Oper. Res.,Citation,Coreference_Of,Antecedents for blockchain technology-enabled sustainable agriculture supply chain,Agri_Method
"April 22,2025 at 06:37:00 UTC",Date_and_Time,Coreference_Of,Downloaded,Event
late blight, Disease, Caused_By, Phytophthora infestans, Organism
Early blight, Disease, Caused_By, Alternaria solani, Organism
